,N,k,edge,zeros_around,time_sec,square_matrix_size
0,100,0.020526315789473684,307,444,110.52700853347778,101
1,200,0.020526315789473684,524,756,157.84105134010315,101
2,300,0.020526315789473684,721,1078,198.58187222480774,101
3,400,0.020526315789473684,932,1426,233.35407137870789,101
4,500,0.020526315789473684,1113,1804,257.34290313720703,101
5,600,0.020526315789473684,1309,2192,279.078054189682,101
6,700,0.020526315789473684,1519,2548,300.1956515312195,101
7,800,0.020526315789473684,1746,2954,318.2451455593109,101
8,900,0.020526315789473684,1967,3318,337.50767183303833,101
9,1000,0.020526315789473684,2176,3720,352.6951243877411,101
10,1100,0.020526315789473684,2329,4050,368.3565466403961,101
11,1200,0.020526315789473684,2541,4426,382.16743898391724,101
12,1300,0.020526315789473684,2736,4798,395.8898253440857,101
13,1400,0.020526315789473684,2899,5140,406.8851091861725,101
14,1500,0.020526315789473684,3085,5512,418.39852690696716,101
